Breed,Sterilized,Dewormed,Vaccinated,Health Status,Fur Length,Maturity Size,Gender,Type,Adopted,Age Bins,Videos,Photos,AdoptionSpeed,Primary Color,Secondary Color,Tertiary Color
Tabby,No,No,No,Healthy,Small,Small,Male,Cat,Yes,"[3,6]",0,1,2,Black,White,
Domestic Medium Hair,Not Sure,Not Sure,Not Sure,Healthy,Medium,Medium,Male,Cat,Yes,"[0,2]",0,2,0,Black,Brown,
Mixed Breed,No,Yes,Yes,Healthy,Medium,Medium,Male,Dog,Yes,"[0,2]",0,7,3,Brown,White,
Mixed Breed,No,Yes,Yes,Healthy,Small,Medium,Female,Dog,Yes,"[3,6]",0,8,2,Black,Brown,
Mixed Breed,No,No,No,Healthy,Small,Medium,Male,Dog,Yes,"[0,2]",0,3,2,Black,,
Domestic Short Hair,No,No,No,Healthy,Small,Medium,Female,Cat,Yes,"[3,6]",0,2,2,Cream,Gray,
Domestic Long Hair,Not Sure,No,No,Healthy,Long,Medium,Male,Cat,Yes,"[12,24]",0,3,1,Black,,
Mixed Breed,No,No,No,Healthy,Small,Medium,Female,Dog,Yes,"[0,2]",0,9,3,Black,Brown,White
Domestic Medium Hair,No,No,No,Healthy,Medium,Medium,Female,Cat,Yes,"[0,2]",0,6,1,Gray,,
Domestic Medium Hair,Not Sure,Not Sure,Not Sure,Healthy,Medium,Medium,Female,Cat,No,"[12,24]",0,2,4,Black,White,
Mixed Breed,No,Yes,No,Healthy,Small,Medium,Male,Dog,Yes,"[0,2]",0,7,1,Black,Brown,White
Domestic Long Hair,No,Yes,Yes,Healthy,Long,Large,Female,Cat,Yes,"[3,6]",0,2,1,Black,Brown,Cream
Mixed Breed,No,Yes,Yes,Healthy,Long,Medium,Male,Dog,Yes,"[0,2]",0,1,2,Brown,Cream,Gray
Domestic Medium Hair,Not Sure,No,No,Healthy,Medium,Small,Mixed,Cat,Yes,"[0,2]",0,1,1,Black,Gray,White
Mixed Breed,Not Sure,Not Sure,Not Sure,Healthy,Medium,Medium,Female,Dog,Yes,"[3,6]",0,2,2,Brown,Cream,White
Terrier,Not Sure,Not Sure,Not Sure,Healthy,Medium,Medium,Male,Dog,No,"[60,255]",0,2,4,Black,White,
Domestic Short Hair,Yes,Yes,Yes,Healthy,Small,Small,Female,Cat,Yes,"[6,12]",0,1,3,Brown,,
Mixed Breed,Yes,Yes,No,Healthy,Small,Medium,Female,Dog,No,"[6,12]",0,2,4,Brown,,
Mixed Breed,No,Yes,No,Healthy,Small,Medium,Female,Dog,Yes,"[0,2]",0,8,2,Black,,
Domestic Short Hair,No,No,No,Healthy,Small,Small,Mixed,Cat,No,"[0,2]",0,1,4,Black,Brown,White
Mixed Breed,Yes,Yes,No,Healthy,Medium,Medium,Female,Dog,Yes,"[12,24]",0,7,2,Brown,White,
Mixed Breed,No,Yes,No,Healthy,Small,Medium,Female,Dog,No,"[3,6]",0,5,4,Gray,,
Greyhound,Not Sure,No,No,Healthy,Medium,Medium,Mixed,Cat,No,"[0,2]",0,0,4,Golden,Gray,White
Mixed Breed,Yes,Yes,Yes,Healthy,Medium,Medium,Female,Dog,No,"[6,12]",0,0,4,Black,Brown,White
Domestic Short Hair,No,Yes,No,Healthy,Small,Small,Male,Cat,Yes,"[3,6]",0,19,1,Brown,White,
Persian,Yes,Yes,Yes,Healthy,Medium,Large,Male,Cat,Yes,"[24,60]",0,3,2,Golden,,
Persian,No,No,No,Healthy,Medium,Medium,Male,Cat,Yes,"[0,2]",0,11,1,Golden,,
Domestic Short Hair,No,No,No,Healthy,Small,Medium,Female,Cat,Yes,"[0,2]",0,2,2,Black,,
Rottweiler,No,Yes,Yes,Healthy,Small,Large,Male,Dog,Yes,"[12,24]",0,0,3,Black,Brown,
Domestic Short Hair,No,Yes,No,Healthy,Small,Small,Female,Cat,Yes,"[0,2]",0,1,2,Brown,White,
Shih Tzu,Yes,Yes,Yes,Healthy,Medium,Small,Mixed,Dog,Yes,"[3,6]",0,5,3,Brown,White,
Domestic Short Hair,No,No,No,Healthy,Small,Small,Male,Cat,Yes,"[0,2]",0,1,1,Black,,
Mixed Breed,No,Yes,Yes,Healthy,Small,Medium,Male,Dog,No,"[24,60]",0,1,4,Cream,White,
Domestic Short Hair,No,No,No,Healthy,Small,Small,Female,Cat,Yes,"[3,6]",0,7,3,Black,Gray,White
Domestic Short Hair,No,No,Yes,Healthy,Small,Small,Female,Cat,No,"[3,6]",0,5,4,Black,White,
Domestic Long Hair,No,No,No,Healthy,Long,Medium,Female,Cat,Yes,"[12,24]",0,5,1,Gray,,
Domestic Medium Hair,Not Sure,Yes,Yes,Healthy,Medium,Medium,Female,Cat,No,"[24,60]",0,2,4,Black,Yellow,
Domestic Medium Hair,No,No,No,Healthy,Medium,Small,Female,Cat,Yes,"[0,2]",0,3,1,Brown,,
Mixed Breed,No,No,No,Healthy,Small,Medium,Male,Dog,Yes,"[12,24]",0,4,1,Black,,
Mixed Breed,No,Yes,Yes,Healthy,Medium,Medium,Male,Dog,Yes,"[12,24]",0,1,3,Cream,,
Domestic Medium Hair,No,Yes,No,Healthy,Medium,Medium,Female,Cat,Yes,"[0,2]",0,13,3,White,,
Domestic Short Hair,No,No,No,Healthy,Small,Small,Mixed,Cat,Yes,"[0,2]",0,1,2,Black,Brown,White
Siamese,Not Sure,Not Sure,Not Sure,Minor Injury,Long,Medium,Female,Cat,Yes,"[24,60]",0,1,1,White,,
Jack Russell Terrier,Yes,Yes,Yes,Healthy,Small,Medium,Male,Dog,Yes,"[3,6]",0,6,3,White,,
Mixed Breed,Yes,Yes,No,Healthy,Medium,Medium,Male,Dog,No,"[12,24]",0,2,4,Brown,White,
Mixed Breed,No,No,No,Healthy,Small,Medium,Male,Dog,No,"[3,6]",0,11,4,Black,White,
Domestic Medium Hair,No,Yes,Yes,Healthy,Long,Small,Male,Cat,Yes,"[3,6]",0,13,3,Yellow,White,
Mixed Breed,Yes,Yes,Yes,Healthy,Small,Medium,Female,Dog,No,"[60,255]",0,3,4,Brown,White,
Mixed Breed,No,Not Sure,Not Sure,Healthy,Small,Medium,Mixed,Dog,Yes,"[0,2]",0,3,3,Black,Brown,
